transaction_id,customer_id,customer_name,timestamp,transaction_type,amount,location,merchant_name,account_number,status,currency,description
75d7822b-0bca-4d93-9c69-39943813a071,C11532,Andre Lewis,2024-11-09T09:50:09.308859,UPI,89096.27,Kolkata,Brandon Bell,ACC931496262,SUCCESS,INR,Low himself.
e150bf9f-a1ee-4da0-9d68-8d803ae6549e,C10070,Debra Wood,2024-08-22T13:44:09.361948,Online,10519.98,Mumbai,Jason Cox,ACC667268271,SUCCESS,INR,Art recognize list.
fcf3a114-119a-48aa-b860-e8dddf9edfbb,C10533,Luis Cruz,2024-11-08T10:05:09.362588,RTGS,29176.52,Kolkata,Antonio Wright,ACC571698801,SUCCESS,INR,Sign night leader water data.
a792fa63-f616-47ac-a9bb-8a6c06ed3849,C19484,Kyle Ortega,2024-09-21T17:53:09.363119,UPI,2240.65,Chennai,Joseph Gray,ACC886489487,SUCCESS,INR,Plant charge treatment some.
ed21cb92-9b48-45da-8486-a55c2bff8979,C12485,Elaine Dean,2025-01-25T17:22:09.363585,Online,50208.22,Chennai,Owens LLC,ACC809366546,SUCCESS,INR,Into protect bar wonder thus.
a6ca469c-89c0-4bd3-a4e1-de3404e82d53,C10660,James Crawford,2025-03-31T12:49:09.364207,UPI,14370.09,Delhi,Brown-Berry,ACC744830637,SUCCESS,INR,Rich task.
8f4b912c-7af4-4d01-83bb-878c265c0152,C19125,Kevin Perez,2024-12-16T21:09:09.364837,UPI,32963.77,Mumbai,Haynes-Cooke,ACC735280906,SUCCESS,INR,Computer where plan help order.
cb5f6f8f-7d0c-4756-895a-67ee6009b017,C11959,Sonya Tran,2024-10-02T02:00:09.365697,UPI,25707.01,Delhi,"Martinez, Petersen and Casey",ACC860071334,SUCCESS,INR,Fill mother item system.
ef176d28-f87e-4586-82b7-637426f2105d,C13574,Jeremiah Hodges,2025-01-02T13:01:09.366285,Online,68420.28,Mumbai,Kevin Price,ACC307705294,SUCCESS,INR,International language try.
a7fe0713-e263-4281-935a-68c374a822a9,C12872,Patricia Ross,2025-06-02T11:14:09.366953,UPI,85886.83,Delhi,Christopher Meyer,ACC210412913,SUCCESS,INR,Court power if store.
ba408c24-75da-42df-be0d-fc3d25cbaaba,C15779,Lawrence Marshall,2024-12-10T06:18:09.368008,Online,62865.73,Chennai,Kevin Jordan,ACC196480073,SUCCESS,INR,Make ago.
1670ed24-c908-4070-baeb-2502b28b631c,C14448,Tina Montes,2025-01-09T10:09:09.369077,RTGS,8907.85,Kolkata,Joseph Trevino,ACC711837710,SUCCESS,INR,That despite from whether of.
f6e1e1a8-549c-4ba1-8a94-e3d90fda07d2,C16117,Lisa Cordova,2025-05-11T07:56:09.370412,NEFT,56060.03,Chennai,Steve Meadows,ACC670014267,FAILED,INR,Name campaign.
5aa14fd4-b6e8-4fca-b231-589e36f94c7c,C10497,John Hall,2025-04-07T05:36:09.371586,POS,71221.76,Hyderabad,Andrew Ingram,ACC411594592,SUCCESS,INR,Gun gun follow car voice.
88ec0606-2484-44f9-8b75-22aed493a108,C16729,Megan Cannon,2024-09-05T14:00:09.372415,NEFT,65235.94,Hyderabad,Garcia-Wright,ACC942391619,FAILED,INR,This under radio.
1479ace5-e409-4fe3-a9c1-62508aab3bac,C15511,Ashley Medina,2025-05-24T19:59:09.372797,ATM,13613.4,Delhi,Ross-George,ACC679055224,SUCCESS,INR,Establish letter any reality.
fb900790-6953-482b-a845-16e450b6d8b9,C12511,Susan Hall,2025-07-04T16:28:09.373197,NEFT,75848.66,Chennai,Davidson-Carr,ACC414135551,SUCCESS,INR,Job late whose political.
7169c78a-f4e5-47e2-9400-72c69e3cc9e5,C17100,Monica Ryan,2025-05-29T15:41:09.373514,ATM,30084.69,Hyderabad,Taylor Smith,ACC471124287,SUCCESS,INR,A me or.
e62501bd-8378-4dc0-8bc0-5db4cf52d8a3,C10826,Whitney Horton,2024-09-18T19:42:09.373905,Online,74630.47,Chennai,Donald Henry Jr.,ACC690404953,SUCCESS,INR,How third sort control think.
d75735d0-ba33-41be-8aa2-604a4e3cda6c,C11697,Lisa Hill MD,2025-05-26T18:10:09.374248,UPI,19267.49,Chennai,Owens Ltd,ACC356168717,FAILED,INR,Safe civil help.
36bf2495-327b-49d5-b2de-f927c5f83577,C11299,Laura Duran,2025-05-29T03:05:09.374525,RTGS,51898.15,Delhi,Carl Jenkins,ACC298541018,SUCCESS,INR,Animal at with ahead.
77f2835b-5de7-43a9-aa7f-b0b35cc366ac,C17893,Robert Floyd,2025-05-13T12:50:09.374779,Online,63174.14,Kolkata,Lewis Ltd,ACC303499189,SUCCESS,INR,Similar also traditional.
c8ffa50e-9476-45fb-bf51-01377eed4d15,C15503,Mrs. Nichole Price,2025-05-25T10:30:09.375047,UPI,790.24,Hyderabad,Ryan Burnett,ACC533908255,SUCCESS,INR,Million season west central.
26871a08-aace-4527-85a7-68165f2c3fb7,C10635,Jennifer Gonzalez,2024-08-30T22:50:09.375355,ATM,14024.45,Delhi,James Scott,ACC774855139,SUCCESS,INR,Body heart doctor help.
f08a96f5-20f9-435d-ae31-bcec238a6cc7,C15629,James Jones,2024-11-20T18:16:09.375625,ATM,83032.69,Bangalore,Cynthia Ford,ACC224949725,DECLINED,INR,Room upon.
079bf183-60f4-4e92-8beb-aeb17cc7833b,C19756,Kyle White,2024-09-07T14:48:09.375885,ATM,38447.6,Mumbai,Melissa Salazar,ACC223060666,SUCCESS,INR,Letter government.
95370b10-7753-423d-9779-edad40bb454e,C14208,Jodi Goodwin,2024-09-07T04:17:09.376155,ATM,92236.32,Chennai,Richard Robinson,ACC834879006,SUCCESS,INR,Hair point.
